p,variant,seconds_per_call,gflops,speedup_vs_naive
2,naive,1.67707e-05,2.92797,1
2,pitfall,4.28697e-06,11.4542,3.912
3,naive,2.29961e-05,2.84988,1
3,pitfall,5.44303e-06,12.0403,4.22486
4,naive,2.67072e-05,3.06285,1
4,pitfall,5.9451e-06,13.7592,4.4923
5,naive,3.15969e-05,3.10815,1
5,pitfall,6.96368e-06,14.1029,4.53739
6,naive,3.60709e-05,3.17331,1
6,pitfall,7.73042e-06,14.807,4.6661
7,naive,4.11889e-05,3.18221,1
7,pitfall,1.04969e-05,12.4867,3.92391
8,naive,5.12388e-05,3.23755,1
8,pitfall,1.36625e-05,12.1419,3.75034
9,naive,6.11731e-05,3.34787,1
9,pitfall,1.64665e-05,12.4374,3.715
